站点ID,站点名,所属线路,运营状态
1050,交通大学,10号线,开启
1051,上海图书馆,10号线,开启
1052,陕西南路,10号线,开启
1053,一大会址·新天地,10号线,开启
1054,老西门,10号线,开启
1055,豫园,10号线,开启
1056,南京东路,10号线,开启
1057,天潼路,10号线,开启
1058,四川北路,10号线,开启
1059,海伦路,10号线,开启
1060,邮电新村,10号线,开启
1061,四平路,10号线,开启
1062,同济大学,10号线,开启
1063,国权路,10号线,开启
1064,五角场,10号线,开启
1065,江湾体育场,10号线,开启
1066,三门路,10号线,开启
1067,殷高东路 ,10号线,开启
1068,新江湾城,10号线,开启
1069,国帆路,10号线,开启
1070,双江路,10号线,开启
1071,高桥西,10号线,开启
1072,高桥,10号线,开启
1073,港城路,10号线,开启
1074,基隆路,10号线,开启
1114,花桥,11号线,开启
1115,光明路,11号线,开启
1116,兆丰路,11号线,开启
1117,安亭,11号线,开启
1118,上海汽车城,11号线,开启
1119,昌吉东路,11号线,开启
1120,上海赛车场,11号线,开启
1131,嘉定北,11号线,开启
1132,嘉定西,11号线,开启
1133,白银路,11号线,开启
1134,嘉定新城,11号线,开启
1135,马陆,11号线,开启
1136,陈翔公路,11号线,开启
1137,南翔,11号线,开启
1138,桃浦新村,11号线,开启
1139,武威路,11号线,开启
1140,祁连山路,11号线,开启
1141,李子园,11号线,开启
1142,上海西站,11号线,开启
1143,真如,11号线,开启
1144,枫桥路,11号线,开启
1145,曹杨路,11号线,开启
1146,隆德路,11号线,开启
1147,江苏路,11号线,开启
1148,交通大学,11号线,开启
1149,徐家汇,11号线,开启
1150,上海游泳馆,11号线,开启
1151,龙华,11号线,开启
1152,云锦路,11号线,开启
1153,龙耀路,11号线,开启
1154,东方体育中心,11号线,开启
1155,三林,11号线,开启
1156,三林东,11号线,开启
1157,浦三路,11号线,开启
1158,康恒路,11号线,开启
1159,御桥,11号线,开启
1160,罗山路,11号线,开启
1161,秀沿路,11号线,开启
1162,康新公路,11号线,开启
1163,迪士尼,11号线,开启
1220,七莘路,12号线,开启
1221,虹莘路,12号线,开启
1222,顾戴路,12号线,开启
1223,东兰路,12号线,开启
1224,虹梅路,12号线,开启
